id	pays_id	annee	quantite_tep
390	3	2018	66595.788
391	4	2018	1562.003
392	5	2018	823.3839999999999
393	6	2018	900.7660000000001
394	7	2018	1785.53
395	8	2018	19857.008
396	9	2018	171.00599999999997
397	10	2018	897.003
398	11	2018	1389.93
399	12	2018	9144.798
400	13	2018	10206.624
401	14	2018	848.263
402	15	2018	9985.469000000001
403	16	2018	41.052
404	17	2018	300.825
405	18	2018	235.013
406	19	2018	165.81799999999998
407	20	2018	322.7
408	21	2018	17.075
409	22	2018	1623.759
410	23	2018	4609.975
411	24	2018	1894.634
412	25	2018	2634.305
413	26	2018	2289.569
414	27	2018	466.48699999999997
415	28	2018	524.076
416	29	2018	2763.562
417	30	2018	7841.187
418	31	2018	9512.378
419	32	2018	1704.891
420	33	2018	12346.615
421	34	2018	193.981
422	35	2018	169.00599999999997
423	36	2018	735.467
424	37	2018	1002.437
425	38	2018	8406.527
426	39	2018	571.883
427	40	2018	26.177
428	41	2018	8.597999999999999
429	42	2018	1255.503
430	43	2018	862.743
