id	pays_id	annee	population
400	13	1969	0
401	14	1969	4379627
402	15	1969	53390600
403	16	1969	606800
404	17	1969	2334443
405	18	1969	3095700
406	19	1969	336500
407	20	1969	10275347
408	21	1969	306100
409	22	1969	12798346
410	23	1969	7426968
411	24	1969	32426000
412	25	1969	8817800
413	26	1969	19878678
414	27	1969	1709752
415	28	1969	4500659
416	29	1969	4633292
417	30	1969	7931772
418	31	1969	55337100
419	32	1969	202695
420	33	1969	3832192
421	34	1969	0
422	35	1969	1589217
423	36	1969	2052778
424	37	1969	0
425	38	1969	33961875
426	39	1969	3734546
427	40	1969	1174000
428	41	1969	0
429	42	1969	0
430	43	1969	0
431	1	1970	384326562
432	2	1970	439872962
433	3	1970	285508883
434	4	1970	9660154
435	5	1970	8464264
436	6	1970	9906474
437	7	1970	4906916
438	8	1970	61194591
439	9	1970	1351640
440	10	1970	2943300
441	11	1970	8780514
442	12	1970	33587610
443	13	1970	0
444	14	1970	4403352
445	15	1970	53685300
446	16	1970	612000
447	17	1970	2351903
448	18	1970	3118941
449	19	1970	338507
450	20	1970	10322099
451	21	1970	302500
452	22	1970	12957621
453	23	1970	7455142
454	24	1970	32670600
455	25	1970	8697610
456	26	1970	20139603
457	27	1970	1717995
458	28	1970	4536555
459	29	1970	4614277
460	30	1970	8004371
461	31	1970	55546400
462	32	1970	204042
463	33	1970	3863221
464	34	1970	0
465	35	1970	1616769
466	36	1970	2110612
467	37	1970	0
468	38	1970	34880611
469	39	1970	3685694
470	40	1970	1204500
471	41	1970	0
472	42	1970	0
473	43	1970	0
474	1	1971	385949080
475	2	1971	441729180
476	3	1971	286798638
477	4	1971	9650944
478	5	1971	8514883
479	6	1971	9809667
480	7	1971	4950598
481	8	1971	61001164
482	9	1971	1368511
483	10	1971	2971200
484	11	1971	8805098
485	12	1971	34040642
486	13	1971	0
487	14	1971	4421151
488	15	1971	53958400
489	16	1971	616900
490	17	1971	2366424
491	18	1971	3160437
492	19	1971	339841
493	20	1971	10353721
494	21	1971	302800
495	22	1971	13119430
496	23	1971	7479030
497	24	1971	32658000
498	25	1971	8663252
499	26	1971	20361192
500	27	1971	1731787
501	28	1971	4539890
502	29	1971	4598336
503	30	1971	8081230
504	31	1971	55780100
505	32	1971	204834
506	33	1971	3888305
507	34	1971	0
508	35	1971	1641353
509	36	1971	2160345
510	37	1971	0
511	38	1971	35707058
512	39	1971	3731216
513	40	1971	1237000
514	41	1971	0
515	42	1971	0
516	43	1971	0
517	1	1972	388592631
518	2	1972	444604976
519	3	1972	288805979
520	4	1972	9695379
521	5	1972	8557906
522	6	1972	9843962
523	7	1972	4975653
524	8	1972	61502503
525	9	1972	1385399
526	10	1972	3012900
527	11	1972	8856974
528	12	1972	34408338
529	13	1972	0
530	14	1972	4441399
531	15	1972	54188579
532	16	1972	623100
533	17	1972	2386353
534	18	1972	3197645
535	19	1972	345000
536	20	1972	10381352
537	21	1972	302600
538	22	1972	13269563
539	23	1972	7521933
540	24	1972	32909000
541	25	1972	8624260
542	26	1972	20561942
543	27	1972	1744882
544	28	1972	4575007
545	29	1972	4625912
546	30	1972	8115438
547	31	1972	56012345
548	32	1972	207361
549	33	1972	3917773
550	34	1972	0
551	35	1972	1666798
552	36	1972	2215361
553	37	1972	0
554	38	1972	36582215
555	39	1972	3789131
556	40	1972	1272500
557	41	1972	0
558	42	1972	0
559	43	1972	0
560	1	1973	391211759
561	2	1973	447371544
562	3	1973	290757638
563	4	1973	9726850
564	5	1973	8594493
565	6	1973	9891302
566	7	1973	5007538
567	8	1973	61809358
568	9	1973	1399637
569	10	1973	3060800
570	11	1973	8920282
571	12	1973	34800600
572	13	1973	0
573	14	1973	4459729
574	15	1973	54574111
575	16	1973	631778
576	17	1973	2404995
577	18	1973	3229598
578	19	1973	348200
579	20	1973	10415626
580	21	1973	302300
581	22	1973	13387623
582	23	1973	7566469
583	24	1973	33202300
584	25	1973	8636600
585	26	1973	20753972
586	27	1973	1759584
587	28	1973	4618236
588	29	1973	4653401
589	30	1973	8129161
590	31	1973	56159785
591	32	1973	210912
592	33	1973	3948234
593	34	1973	0
594	35	1973	1692113
595	36	1973	2270891
596	37	1973	0
597	38	1973	37508880
598	39	1973	3845048
599	40	1973	1310000
600	41	1973	0
601	42	1973	0
602	43	1973	0
603	1	1974	393658199
604	2	1974	449887467
605	3	1974	292519316
606	4	1974	9756590
607	5	1974	8647440
608	6	1974	9953230
609	7	1974	5036184
610	8	1974	62101379
611	9	1974	1412265
612	10	1974	3111100
613	11	1974	8937890
614	12	1974	35177294
615	13	1974	0
616	14	1974	4480592
617	15	1974	54928700
618	16	1974	637800
619	17	1974	2426642
620	18	1974	3259277
621	19	1974	352700
622	20	1974	10448484
623	21	1974	302100
624	22	1974	13491020
625	23	1974	7605760
626	24	1974	33512100
627	25	1974	8629600
628	26	1974	20917390
629	27	1974	1773809
630	28	1974	4664653
631	29	1974	4678761
632	30	1974	8143463
633	31	1974	56229268
634	32	1974	213722
635	33	1974	3972990
636	34	1974	0
637	35	1974	1717090
638	36	1974	2322613
639	37	1974	0
640	38	1974	38490106
641	39	1974	3898064
642	40	1974	1348000
643	41	1974	0
644	42	1974	0
645	43	1974	0
646	1	1975	395835667
647	2	1975	452066347
648	3	1975	293874224
649	4	1975	9788248
650	5	1975	8710049
651	6	1975	10023688
652	7	1975	5054410
653	8	1975	61991475
654	9	1975	1424073
655	10	1975	3163900
656	11	1975	8986153
657	12	1975	35569375
658	13	1975	0
659	14	1975	4500727
660	15	1975	55293036
661	16	1975	505700
662	17	1975	2447730
663	18	1975	3288510
664	19	1975	357400
665	20	1975	10508956
666	21	1975	301892
667	22	1975	13599092
668	23	1975	7592316
669	24	1975	33845698
670	25	1975	8879130
671	26	1975	21141468
672	27	1975	1778454
673	28	1975	4714593
674	29	1975	4702387
675	30	1975	8176447
676	31	1975	56230680
677	32	1975	216695
678	33	1975	3997525
679	34	1975	0
680	35	1975	1742780
681	36	1975	2377635
682	37	1975	0
683	38	1975	39529218
684	39	1975	3950628
685	40	1975	1386500
686	41	1975	0
687	42	1975	0
688	43	1975	0
689	1	1976	398037111
690	2	1976	454258031
691	3	1976	295212458
