GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bulgarie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	6.415,859	6.938,197	8.093,680	6.915,000	5.946,623	6.357,280	6.607,404	5.698,588	6.122,761	5.633,718
Tchéquie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	17.608,418	18.846,975	18.300,811	17.283,113	17.276,269	15.972,076	16.394,610	16.553,885	15.837,627	15.725,648
Danemark,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	4.003,471	3.808,941	3.234,475	2.467,764	3.173,545	2.533,670	1.817,650	2.120,034	1.710,000	1.717,317
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	72.071,598	79.075,728	77.965,871	79.918,633	81.561,127	79.604,753	79.414,733	77.130,836	71.308,498	69.738,592
Estonie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	44,185	23,940	29,079	24,464	27,993	33,582	13,360	8,659	12,289	16,743
Irlande,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.145,248	1.231,381	1.231,615	1.485,090	1.311,366	1.233,088	1.425,561	1.369,653	1.098,852	726,204
Grèce,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	8.425,257	7.863,033	7.886,860	8.134,842	6.981,004	6.687,083	5.606,374	4.369,484	4.816,635	4.564,069
Espagne,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	9.665,228	7.281,087	12.716,137	15.518,743	11.447,726	11.568,180	13.583,196	10.836,007	12.907,895	11.516,021
France,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	11.116,820	11.962,119	11.300,019	12.552,809	13.267,669	9.875,708	9.346,069	9.127,385	9.941,837	9.049,902
Croatie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	506,723	682,699	702,722	631,278	675,106	646,682	605,788	651,006	392,335	366,355
